clinic_name|clinic_link|id_doctor|doctor_specialization|doctor_experience
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|6|Стоматолог-хирург|3
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|7|Стоматолог|5
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|8|Стоматолог|7
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|9|Стоматолог, пародонтолог|9
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|10|Стоматолог-гигиенист|27
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|11|Стоматолог-хирург, пародонтолог, стоматолог-имплантолог|11
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|12|Стоматолог-ортодонт|6
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|13|Стоматолог-ортодонт|9
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|14|Стоматолог-ортодонт|20
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|15|Стоматолог|6
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|16|Стоматолог|5
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|17|Стоматолог-ортодонт|3
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|0|Стоматолог, стоматолог-ортопед|20
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|1|Стоматолог-ортопед|36
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|2|Стоматолог-хирург, стоматолог-имплантолог|13
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|3|Стоматолог|31
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|4|Стоматолог-гигиенист|15
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|5|Стоматолог|11
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|6|Стоматолог, пародонтолог|13
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|7|Анестезиолог-реаниматолог|15
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|8|Стоматолог, пародонтолог|7
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|9|Стоматолог-гигиенист|4
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|10|Детский стоматолог, стоматолог|4
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|11|Стоматолог-гигиенист|15
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|12|Стоматолог-ортодонт|7
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|13|Стоматолог|7
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|14|Стоматолог-ортопед|8
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|15|Стоматолог|5
Стоматология «Эликсир» на Белинского|https://prodoctorov.ru/tomsk/lpu/45199-stomatologicheskaya-klinika-eliksir-na-belinskogo/|16|Стоматолог|5
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|0|Стоматолог-гигиенист|13
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|1|Стоматолог|9
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|2|Детский стоматолог|12
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|3|Стоматолог-ортопед|10
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|4|Детский стоматолог|5
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|5|Стоматолог-хирург, пародонтолог, стоматолог-имплантолог|13
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|6|Стоматолог-хирург, пародонтолог, стоматолог-имплантолог|11
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|7|Стоматолог-хирург|3
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|8|Стоматолог|17
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|9|Детский стоматолог|15
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|10|Стоматолог-гигиенист|5
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|11|Стоматолог|22
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|12|Детский стоматолог|9
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|13|Стоматолог-ортодонт|9
«Мастер Дент» на проспекте Мира|https://prodoctorov.ru/tomsk/lpu/41182-master-dent-na-mira/|14|Стоматолог-ортодонт|20
